id,trade_date,fixed_asset_id,asset_detail_id,beginning_amt,acquisition,depreciation,disposal,net_book_value
BF00000001,2022-01-03,FA10045,AD10045,42526.0,3.4,67.36,3.81,42458.23
BF00000002,2022-01-04,FA10045,AD10045,42458.23,0.13,14.3,2.04,42442.02
BF00000003,2022-01-05,FA10045,AD10045,42442.02,13.39,16.3,2.63,42436.48
BF00000004,2022-01-06,FA10045,AD10045,42436.48,11.31,78.62,3.55,42365.62
BF00000005,2022-01-07,FA10045,AD10045,42365.62,12.0,19.62,4.09,42353.91
BF00000006,2022-01-10,FA10045,AD10045,42353.91,13.28,57.54,2.51,42307.14
BF00000007,2022-01-11,FA10045,AD10045,42307.14,7.81,112.5,3.64,42198.81
BF00000008,2022-01-12,FA10045,AD10045,42198.81,9.68,0.45,3.72,42204.32
BF00000009,2022-01-13,FA10045,AD10045,42204.32,2.38,1.88,3.24,42201.58
BF00000010,2022-01-14,FA10045,AD10045,42201.58,1.95,112.65,1.89,42088.99
BF00000011,2022-01-18,FA10045,AD10045,42088.99,11.37,66.32,0.33,42033.71
BF00000012,2022-01-19,FA10045,AD10045,42033.71,8.02,14.4,0.06,42027.27
BF00000013,2022-01-20,FA10045,AD10045,42027.27,9.62,101.79,1.95,41933.15
BF00000014,2022-01-21,FA10045,AD10045,41933.15,13.02,99.87,2.02,41844.28
BF00000015,2022-01-24,FA10045,AD10045,41844.28,10.8,60.82,1.67,41792.59
BF00000016,2022-01-25,FA10045,AD10045,41792.59,9.42,70.53,2.33,41729.15
BF00000017,2022-01-26,FA10045,AD10045,41729.15,9.51,30.99,2.26,41705.41
BF00000018,2022-01-27,FA10045,AD10045,41705.41,5.17,5.73,3.43,41701.42
BF00000019,2022-01-28,FA10045,AD10045,41701.42,0.52,67.44,0.44,41634.06
BF00000020,2022-01-31,FA10045,AD10045,41634.06,7.43,33.44,0.92,41607.13
BF00000021,2022-02-01,FA10045,AD10045,41607.13,3.65,75.28,3.25,41532.25
BF00000022,2022-02-02,FA10045,AD10045,41532.25,6.95,94.86,3.47,41440.87
BF00000023,2022-02-03,FA10045,AD10045,41440.87,14.52,2.06,4.07,41449.26
BF00000024,2022-02-04,FA10045,AD10045,41449.26,3.98,67.57,3.57,41382.1
BF00000025,2022-02-07,FA10045,AD10045,41382.1,0.99,26.24,3.64,41353.21
BF00000026,2022-02-08,FA10045,AD10045,41353.21,4.79,99.13,1.29,41257.58
BF00000027,2022-02-09,FA10045,AD10045,41257.58,5.0,28.77,1.64,41232.17
BF00000028,2022-02-10,FA10045,AD10045,41232.17,11.26,69.28,1.1,41173.05
BF00000029,2022-02-11,FA10045,AD10045,41173.05,9.48,62.79,2.48,41117.26
